,background radiations,background radiations,E11t,E11g,E12t,E12g,E13t,E13g,E21t,E21g,E22t,E22g,E23t,E23g,E31t,E31g,E32t,E32g,E33t,E33g,E34t,E34g,E35t,E35g,E36t,E36g,E37t,E37g,E38t,E38g,E39t,E39g,E310t,E310g,E311t,E311g,E312t,E312g,E313t,E313g,E314t,E314g,E315t,E315g,E316t,E316g,E317t,E317g,E318t,E318g,E319t,E319g,E320t,E320g,E41t,E41g,E42t,E42g,E43t,E43g,E44t,E44g,E45t,E45g
,0.000,0,0.000,2,0.000,3,0.000,4,2.000,16,2.000,13,2.000,23,0.000,0,0.000,2,0.000,0,0.000,2,0.000,2,0.000,0,0.000,2,0.000,1,0.000,1,0.000,3,0.000,2,0.000,3,0.000,0,0.000,0,0.000,1,0.000,1,0.000,1,0.000,0,0.000,1,0.000,1,2.000,8,2.000,4,2.000,5,2.000,10,2.000,8
,0.200,0,0.200,2,0.200,5,0.200,1,4.000,18,4.000,29,4.000,13,0.100,1,0.100,0,0.100,0,0.100,0,0.100,2,0.100,2,0.100,2,0.100,1,0.100,2,0.100,2,0.100,2,0.100,1,0.100,3,0.100,0,0.100,0,0.100,0,0.100,1,0.100,0,0.100,1,0.100,0,4.000,4,4.000,10,4.000,3,4.000,1,4.000,6
,0.400,0,0.400,1,0.400,6,0.400,3,6.000,21,6.000,22,6.000,24,0.200,3,0.200,2,0.200,1,0.200,0,0.200,0,0.200,0,0.200,0,0.200,1,0.200,1,0.200,1,0.200,1,0.200,0,0.200,1,0.200,0,0.200,2,0.200,1,0.200,1,0.200,1,0.200,2,0.200,1,6.000,7,6.000,9,6.000,2,6.000,5,6.000,4
,0.600,0,0.600,3,0.600,0,0.600,2,8.000,15,8.000,20,8.000,25,0.300,2,0.300,1,0.300,1,0.300,3,0.300,0,0.300,2,0.300,2,0.300,0,0.300,2,0.300,0,0.300,0,0.300,0,0.300,1,0.300,1,0.300,0,0.300,1,0.300,1,0.300,2,0.300,2,0.300,0,8.000,4,8.000,1,8.000,5,8.000,4,8.000,4
,0.800,0,0.800,0,0.800,1,0.800,5,10.000,16,10.000,22,10.000,23,0.400,0,0.400,5,0.400,1,0.400,0,0.400,0,0.400,0,0.400,2,0.400,1,0.400,1,0.400,4,0.400,1,0.400,2,0.400,3,0.400,2,0.400,1,0.400,1,0.400,0,0.400,1,0.400,1,0.400,2,10.000,4,10.000,5,10.000,5,10.000,5,10.000,5
,1.000,0,1.000,3,1.000,3,1.000,1,12.000,29,12.000,15,12.000,20,0.500,1,0.500,0,0.500,2,0.500,3,0.500,3,0.500,0,0.500,1,0.500,2,0.500,1,0.500,2,0.500,2,0.500,0,0.500,2,0.500,1,0.500,1,0.500,0,0.500,0,0.500,0,0.500,1,0.500,1,12.000,4,12.000,4,12.000,11,12.000,6,12.000,7
,1.200,0,1.200,3,1.200,3,1.200,1,14.000,29,14.000,27,14.000,22,0.600,3,0.600,1,0.600,4,0.600,3,0.600,1,0.600,0,0.600,1,0.600,1,0.600,1,0.600,0,0.600,0,0.600,1,0.600,0,0.600,0,0.600,3,0.600,0,0.600,1,0.600,0,0.600,1,0.600,0,14.000,3,14.000,6,14.000,8,14.000,2,14.000,3
,1.400,0,1.400,3,1.400,3,1.400,0,16.000,18,16.000,24,16.000,17,0.700,0,0.700,0,0.700,1,0.700,1,0.700,1,0.700,2,0.700,0,0.700,3,0.700,2,0.700,1,0.700,1,0.700,0,0.700,0,0.700,0,0.700,0,0.700,1,0.700,1,0.700,0,0.700,1,0.700,3,16.000,2,16.000,9,16.000,5,16.000,5,16.000,1
,1.600,0,1.600,1,1.600,3,1.600,3,18.000,16,18.000,20,18.000,28,0.800,1,0.800,3,0.800,1,0.800,2,0.800,1,0.800,1,0.800,1,0.800,3,0.800,0,0.800,2,0.800,1,0.800,2,0.800,2,0.800,1,0.800,0,0.800,1,0.800,0,0.800,0,0.800,0,0.800,1,18.000,5,18.000,3,18.000,4,18.000,2,18.000,2
,1.800,0,1.800,1,1.800,2,1.800,2,20.000,13,20.000,21,20.000,24,0.900,1,0.900,1,0.900,0,0.900,1,0.900,1,0.900,0,0.900,0,0.900,0,0.900,3,0.900,3,0.900,1,0.900,5,0.900,3,0.900,2,0.900,0,0.900,3,0.900,0,0.900,1,0.900,3,0.900,1,20.000,6,20.000,8,20.000,6,20.000,11,20.000,8
